SampleDate_Local,SampleDepth_m,SampleID,CphlA_mgm3
11/07/2019,0,ROT20190711_0,0.503
11/07/2019,20,ROT20190711_20,0.541
19/08/2019,0,ROT20190819_0,0.281
19/08/2019,20,ROT20190819_20,0.314
11/10/2019,0,ROT20191011_0,0.132
11/10/2019,20,ROT20191011_20,0.192
4/11/2019,0,ROT20191104_0,0.491
4/11/2019,20,ROT20191104_20,0.432
26/11/2019,0,ROT20191126_0,0.213
26/11/2019,20,ROT20191126_20,0.335
18/12/2019,0,ROT20191218_0,0.084
18/12/2019,20,ROT20191218_20,0.2
28/01/2020,0,ROT20200128_0,0.179
28/01/2020,20,ROT20200128_20,0.217
4/03/2020,0,ROT20200304_0,0.504
4/03/2020,20,ROT20200304_20,0.655
20/05/2020,0,ROT20200520_0,0.439
20/05/2020,20,ROT20200520_20,0.451
5/06/2020,0,ROT20200605_0,0.709
5/06/2020,20,ROT20200605_20,0.623
10/07/2020,0,ROT20200710_0,0.483
10/07/2020,20,ROT20200710_20,0.46
30/07/2020,0,ROT20200730_0,0.298
30/07/2020,20,ROT20200730_20,0.302
14/08/2020,0,ROT20200814_0,0.291
25/08/2020,0,ROT20200825_0,0.186
25/08/2020,20,ROT20200825_20,0.221
13/10/2020,0,ROT20201013_0,0.185
13/10/2020,20,ROT20201013_20,0.224
6/11/2020,0,ROT20201106_0,0.41
6/11/2020,20,ROT20201106_20,0.431
27/11/2020,0,ROT20201127_0,0.085
27/11/2020,20,ROT20201127_20,0.087
21/01/2021,0,ROT20210121_0,0.214
21/01/2021,20,ROT20210121_20,0.269
24/02/2021,0,ROT20210224_0,0.136
24/02/2021,20,ROT20210224_20,0.206
7/04/2021,0,ROT20210407_0,0.283
7/04/2021,20,ROT20210407_20,0.3
29/04/2021,0,ROT20210428_0,0.416
29/04/2021,20,ROT20210428_20,0.467
3/08/2021,0,ROT20210803_0,0.614
3/08/2021,20,ROT20210803_20,0.694
18/08/2021,0,ROT20210818_0,0.361
18/08/2021,20,ROT20210818_20,0.484
28/09/2021,0,ROT20210928_0,0.329
28/09/2021,20,ROT20210928_20,0.273
5/11/2021,0,ROT20211105_0,0.37
5/11/2021,20,ROT20211105_20,0.416
25/11/2021,0,ROT20211125_0,0.181
25/11/2021,20,ROT20211125_20,0.226
7/12/2021,0,ROT20211207_0,0.256
7/12/2021,20,ROT20211207_20,0.348
20/12/2021,0,ROT20211220_0,0.171
20/12/2021,20,ROT20211220_20,0.262
25/01/2022,0,ROT20220125_0,0.224
25/01/2022,20,ROT20220125_20,0.22
